Brix,Violet,Blue,Green,Yellow,Orange,Red
8.5,38,36,48,65,31,41
9.1,34,38,47,68,30,44
9.2,34,38,45,67,29,44
8.5,32,38,43,64,28,40
8.6,33,39,43,67,28,39
8.4,34,40,41,66,27,38
9.1,34,39,58,75,38,37
9.1,34,38,59,74,38,36
9.2,33,38,60,75,38,36
9.5,25,37,45,68,30,33
9.3,24,33,41,65,28,32
9.2,29,38,38,61,27,37
11.8,56,54,66,96,48,62
11.5,56,54,67,97,49,61
11.2,56,55,66,97,48,61
10.5,53,46,75,93,52,51
10.7,53,47,76,95,52,52
10.7,54,48,76,98,53,53
10.8,40,44,60,83,38,46
10.7,40,44,60,83,38,46
10.7,40,44,60,83,38,45
10.8,41,46,58,86,40,49
10.5,42,46,59,88,41,48
10.6,42,46,59,88,41,48
8.9,43,43,61,79,39,49
9,43,43,60,79,39,47
9,43,43,60,78,39,46
9.6,36,36,51,69,33,46
9.8,37,36,53,69,34,45
9.8,37,36,53,70,34,45
9.5,30,32,49,61,32,32
9.3,31,33,51,64,33,33
9.1,31,33,51,64,33,33
9.5,36,42,59,83,40,43
9.6,36,42,58,83,40,42
9.4,36,42,58,82,40,41
8.2,33,36,48,65,30,39
8.2,35,37,49,66,31,39
8.4,36,36,48,64,30,38
8.7,41,39,49,68,32,46
8.6,41,38,49,68,32,46
8.6,45,41,51,72,33,48
8.3,35,33,43,60,28,37
8.4,34,32,44,60,28,36
8.5,35,34,44,61,29,37
8.1,33,37,46,66,30,33
8,32,36,46,65,30,33
8.7,32,36,45,65,30,33
8.9,59,57,61,94,43,62
8.9,58,57,66,97,45,62
8.9,56,53,64,91,44,58
8.6,30,34,48,67,31,38
8.6,30,33,47,66,31,37
8.6,30,33,47,66,31,37
8.3,44,48,56,81,38,54
8.2,44,48,58,82,39,54
8.5,45,49,59,84,40,54
9.4,34,36,56,70,40,39
9.2,34,36,55,70,39,39
9.2,32,36,54,69,38,37
9.2,38,38,49,64,31,42
9.3,34,34,48,62,31,37
9.3,33,34,47,62,30,36
9,44,46,54,76,36,51
9,44,44,51,73,34,50
9,43,44,50,72,34,49
9.8,33,37,50,67,31,35
9.8,34,34,51,69,31,35
9.7,34,34,51,69,31,35
9.6,39,41,52,74,33,44
9.6,38,41,52,73,33,43
9.6,38,41,52,73,33,43
8.7,46,48,57,78,36,51
8.7,46,48,56,78,36,50
8.7,45,48,56,78,36,49
8.1,35,38,46,64,29,38
8.1,36,39,45,63,28,37
8.1,40,41,47,67,29,39
9.1,41,42,52,74,36,47
9.1,41,42,52,74,36,46
9.2,41,42,53,74,36,46
8.1,42,39,53,72,34,44
8.2,42,39,52,71,34,43
8.2,42,39,53,72,35,42
8.5,46,44,56,82,36,51
8.7,46,43,56,81,36,49
8.6,45,43,55,80,36,47
7.7,51,40,51,70,37,46
7.7,51,40,51,70,37,45
7.6,51,40,51,70,37,44
7.6,45,43,54,74,35,45
7.6,45,42,54,74,35,44
7.6,48,42,54,75,36,43
7.4,41,39,45,64,30,43
7.4,41,41,46,64,30,42
7.4,40,37,44,62,29,40
