Class,Violet,Blue,Green,Yellow,Orange,Red
Matang,38,36,48,65,31,41
Matang,34,38,47,68,30,44
Matang,34,38,45,67,29,44
Matang,32,38,43,64,28,40
Matang,33,39,43,67,28,39
Matang,34,40,41,66,27,38
Matang,34,39,58,75,38,37
Matang,34,38,59,74,38,36
Matang,33,38,60,75,38,36
Matang,25,37,45,68,30,33
Matang,24,33,41,65,28,32
Matang,29,38,38,61,27,37
Matang,56,54,66,96,48,62
Matang,56,54,67,97,49,61
Matang,56,55,66,97,48,61
Matang,53,46,75,93,52,51
Matang,53,47,76,95,52,52
Matang,54,48,76,98,53,53
Matang,40,44,60,83,38,46
Matang,40,44,60,83,38,46
Matang,40,44,60,83,38,45
Matang,41,46,58,86,40,49
Matang,42,46,59,88,41,48
Matang,42,46,59,88,41,48
Matang,43,43,61,79,39,49
Matang,43,43,60,79,39,47
Matang,43,43,60,78,39,46
Matang,36,36,51,69,33,46
Matang,37,36,53,69,34,45
Matang,37,36,53,70,34,45
Matang,30,32,49,61,32,32
Matang,31,33,51,64,33,33
Matang,31,33,51,64,33,33
Matang,36,42,59,83,40,43
Matang,36,42,58,83,40,42
Matang,36,42,58,82,40,41
Matang,33,36,48,65,30,39
Matang,35,37,49,66,31,39
Matang,36,36,48,64,30,38
Matang,41,39,49,68,32,46
Matang,41,38,49,68,32,46
Matang,45,41,51,72,33,48
Matang,35,33,43,60,28,37
Matang,34,32,44,60,28,36
Matang,35,34,44,61,29,37
Matang,33,37,46,66,30,33
Matang,32,36,46,65,30,33
Matang,32,36,45,65,30,33
Matang,59,57,61,94,43,62
Matang,58,57,66,97,45,62
Matang,56,53,64,91,44,58
Matang,30,34,48,67,31,38
Matang,30,33,47,66,31,37
Matang,30,33,47,66,31,37
Matang,44,48,56,81,38,54
Matang,44,48,58,82,39,54
Matang,45,49,59,84,40,54
Matang,34,36,56,70,40,39
Matang,34,36,55,70,39,39
Matang,32,36,54,69,38,37
Matang,38,38,49,64,31,42
Matang,34,34,48,62,31,37
Matang,33,34,47,62,30,36
Matang,44,46,54,76,36,51
Matang,44,44,51,73,34,50
Matang,43,44,50,72,34,49
Matang,33,37,50,67,31,35
Matang,34,34,51,69,31,35
Matang,34,34,51,69,31,35
Matang,39,41,52,74,33,44
Matang,38,41,52,73,33,43
Matang,38,41,52,73,33,43
Matang,46,48,57,78,36,51
Matang,46,48,56,78,36,50
Matang,45,48,56,78,36,49
Matang,35,38,46,64,29,38
Matang,36,39,45,63,28,37
Matang,40,41,47,67,29,39
Matang,41,42,52,74,36,47
Matang,41,42,52,74,36,46
Matang,41,42,53,74,36,46
Matang,42,39,53,72,34,44
Matang,42,39,52,71,34,43
Matang,42,39,53,72,35,42
Matang,46,44,56,82,36,51
Matang,46,43,56,81,36,49
Matang,45,43,55,80,36,47
Matang,51,40,51,70,37,46
Matang,51,40,51,70,37,45
Matang,51,40,51,70,37,44
Matang,45,43,54,74,35,45
Matang,45,42,54,74,35,44
Matang,48,42,54,75,36,43
Matang,41,39,45,64,30,43
Matang,41,41,46,64,30,42
Matang,40,37,44,62,29,40
Matang,27,37,53,71,34,38
Matang,27,37,53,71,34,37
Matang,26,37,53,71,34,36
Matang,40,45,63,86,42,48
Matang,40,45,63,86,42,48
Matang,40,45,62,86,42,47
Matang,40,39,55,73,37,51
Matang,39,39,54,72,36,50
Matang,40,39,55,73,37,50
Matang,45,48,57,80,37,53
Matang,45,49,58,82,38,53
Matang,45,48,58,82,38,52
Matang,37,44,55,79,37,45
Matang,37,44,55,79,38,45
Matang,37,43,55,79,37,44
Matang,41,41,55,76,36,44
Matang,41,41,55,76,36,43
Matang,40,40,54,75,35,43
Matang,37,40,54,74,37,47
Matang,36,40,54,74,37,46
Matang,36,39,53,73,36,45
Matang,32,38,45,65,28,37
Matang,32,38,45,65,28,36
Matang,31,38,45,65,28,36
Matang,31,36,48,70,31,36
Matang,32,37,48,70,32,36
Matang,31,37,48,70,32,35
Matang,34,35,47,62,31,32
Matang,38,37,48,65,32,34
Matang,38,37,48,65,32,34
Matang,45,43,51,75,33,44
Matang,45,43,51,75,34,43
Matang,44,43,51,75,33,42
Matang,43,44,54,80,36,45
Matang,42,44,54,79,36,44
Matang,42,44,54,79,36,43
Matang,33,34,50,64,35,44
Matang,33,34,50,64,35,43
Matang,33,34,50,64,34,41
Matang,38,43,55,77,39,46
Matang,37,42,55,76,38,45
Matang,37,42,55,76,38,44
Matang,39,45,54,77,36,46
Matang,39,44,54,76,35,45
Matang,39,44,54,76,36,45
Matang,37,41,61,82,41,45
Matang,36,41,61,82,41,44
Matang,37,41,62,83,41,44
Matang,48,45,60,79,39,48
Matang,49,45,61,81,40,47
Matang,48,45,60,79,39,46
Matang,33,37,51,67,35,36
Matang,33,37,50,67,35,35
Matang,33,37,50,67,35,35
Matang,28,37,45,67,30,39
Matang,28,37,46,67,31,39
Matang,28,37,45,67,31,38
Matang,40,41,53,71,36,42
Matang,39,44,53,71,36,41
Matang,39,40,53,70,36,40
Matang,43,45,58,81,39,47
Matang,45,46,57,80,38,48
Matang,45,46,57,80,38,47
Matang,36,41,54,79,41,41
Matang,36,40,54,78,41,41
Matang,35,40,53,78,41,41
Matang,47,43,54,78,40,51
Matang,45,43,53,77,40,49
Matang,45,43,53,77,39,48
Matang,37,45,61,83,41,52
Matang,36,44,60,82,41,51
Matang,36,44,60,82,41,50
Matang,50,48,60,86,38,56
Matang,48,47,58,85,37,55
Matang,47,46,57,83,37,53
Matang,45,41,51,72,34,51
Matang,45,42,51,72,34,51
Matang,45,41,51,71,34,50
Matang,42,44,54,79,33,47
Matang,41,43,54,79,33,46
Matang,41,43,53,79,33,46
Matang,37,33,56,73,34,34
Matang,40,37,50,72,31,36
Matang,39,37,50,72,31,36
Matang,40,39,57,74,36,42
Matang,40,38,57,73,36,42
Matang,38,37,55,70,34,39
Matang,52,45,76,95,48,45
Matang,54,47,77,97,48,46
Matang,52,46,77,97,48,45
Matang,38,37,59,72,34,32
Matang,38,36,58,71,34,31
Matang,37,36,57,70,33,31
Matang,39,43,44,71,27,35
Matang,38,43,45,71,27,34
Matang,38,43,44,71,27,33
Matang,46,43,56,77,35,48
Matang,46,43,57,78,35,48
Matang,46,43,56,77,35,47
Matang,45,44,58,81,37,48
Matang,45,44,59,82,37,47
Matang,45,44,58,81,37,47
Matang,54,48,64,88,43,53
Matang,54,48,64,88,43,52
Matang,54,47,69,91,45,52
Matang,45,41,59,78,36,46
Matang,44,41,59,77,36,46
Matang,44,40,58,77,35,44
Matang,39,43,50,75,33,50
Matang,39,43,51,75,34,50
Matang,39,43,51,75,33,49
Matang,36,47,59,85,43,54
Matang,36,47,59,84,43,53
Matang,36,47,59,84,43,53
Matang,26,38,52,74,36,34
Matang,26,38,52,74,36,34
Matang,26,39,55,76,38,34
Matang,47,44,71,92,53,46
Matang,47,44,71,92,53,46
Matang,47,44,70,92,53,46
Matang,51,44,54,75,34,44
Matang,51,44,54,75,34,44
Matang,51,44,54,75,34,43
Matang,43,38,63,78,39,38
Matang,43,38,62,77,38,37
Matang,42,37,62,76,38,36
Matang,34,38,57,75,39,36
Matang,34,38,57,75,39,36
Matang,34,38,58,75,39,35
Matang,49,47,53,81,35,47
Matang,49,47,53,81,35,46
Matang,49,47,53,81,35,46
Matang,37,41,51,72,32,44
Matang,43,42,55,78,35,47
Matang,43,42,56,78,35,47
Matang,54,44,63,83,41,51
Matang,53,44,63,83,41,50
Matang,53,44,62,83,41,49
Matang,41,38,59,78,36,37
Matang,41,38,59,78,36,37
Matang,41,36,67,79,42,36
Matang,44,42,62,83,41,54
Matang,44,42,62,83,41,54
Matang,45,42,62,83,41,53
Matang,38,48,68,95,46,47
Matang,40,47,71,96,49,46
Matang,40,47,71,96,49,46
Matang,50,51,58,89,38,54
Matang,50,51,59,89,38,54
Matang,50,51,59,89,38,53
Matang,52,42,61,81,41,46
Matang,52,42,61,81,42,45
Matang,55,43,61,83,42,46
Matang,32,38,65,83,47,41
Matang,27,37,66,84,46,37
Matang,27,37,66,84,46,36
Matang,44,51,62,90,40,49
Matang,43,51,62,90,40,48
Matang,43,50,61,89,40,46
